Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
201401BS70097,1,1,2,2,51,8,3,0,0,0,2,0,11,-1
201401BS70101,1,1,1,2,35,6,3,0,0,0,0,0,9,1
201401BS70102,1,1,1,1,38,7,3,0,0,0,0,0,11,1
201401BS70102,1,2,2,2,61,9,3,0,0,0,4,0,11,-1
201401BS70103,1,1,3,1,48,8,3,4,3,0,0,2,0,-1
201401BS70104,1,1,1,1,27,6,3,0,0,0,0,0,4,1
201401BS70105,2,1,1,1,53,8,3,0,0,0,0,0,3,1
201401BS70106,1,1,1,2,47,8,3,0,0,0,0,0,1,1
201401BS70107,1,1,3,2,89,11,2,1,1,0,0,2,0,1
201401BS70108,1,1,2,2,25,5,3,0,0,1,0,0,9,-1
201401BS70108,2,2,1,2,52,8,3,0,0,0,0,0,9,3
201401BS70109,1,1,1,1,37,7,3,0,0,0,0,0,5,1
201401BS70110,2,1,1,1,46,8,3,0,0,0,0,0,1,1
201401BS70113,1,1,3,2,26,6,3,5,1,0,0,2,0,1
201401BS70114,1,1,1,1,38,7,3,0,0,0,0,0,3,1
201401BS70115,1,1,1,1,-1,-1,3,0,0,0,0,0,1,-1
201401BS70115,1,2,3,1,54,8,2,9,9,0,0,2,0,1
201401BS70116,1,1,1,1,60,9,2,0,0,0,0,0,5,1
201401BS70117,1,1,1,1,55,8,3,0,0,0,0,0,8,1
201401BS70118,2,1,2,2,57,9,3,0,0,2,0,0,8,1
201401BS70119,1,1,3,1,73,10,3,5,1,0,0,2,0,1
201401BS70121,1,1,2,2,30,6,3,0,0,2,0,0,8,1
201401BS70122,1,1,1,1,57,9,3,0,0,0,0,0,1,1
201401BS70123,1,1,1,1,43,7,3,0,0,0,0,0,1,1
