Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
2017010001708,1,9,0,18,0,0,0,0,0,0,1,1,6,1,24,5,1997,2,1,-1,-1,-1
2017010001708,2,2,0,18,0,0,1,0,0,0,2,1,6,1,19,4,-1,-1,-1,-1,-1,-1
2017010009342,1,9,0,18,0,1,0,0,0,0,2,1,6,1,33,6,1797,8,8,9,1,9
2017010009342,2,9,0,18,0,1,1,0,0,0,1,1,6,1,40,7,2204,2,12,2,1,2
2017010009344,1,9,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2017010009344,2,9,0,18,0,2,0,0,0,0,1,1,6,1,35,6,1896,2,9,-1,-1,-1
2017010009344,3,9,0,18,0,2,0,0,0,0,1,1,6,2,31,6,1299,1,14,5,1,5
2017010009348,1,9,0,18,0,4,0,9,0,0,1,1,6,2,37,7,1399,1,9,2,1,2
2017010009348,2,9,0,9,0,3,0,0,0,0,3,1,6,2,29,6,1797,8,6,4,1,4
2017010009350,1,9,0,18,0,2,0,0,0,0,3,1,6,1,78,11,1988,1,14,4,1,4
2017010009351,1,9,0,4,0,0,0,0,0,0,0,1,6,1,19,4,1364,1,13,3,1,3
2017010009351,2,3,0,4,0,0,1,10,1,0,0,1,6,1,14,3,125,1,8,9,1,9
2017010009353,1,9,0,5,0,8,0,0,0,0,3,1,6,2,58,9,1587,1,13,2,1,2
2017010009353,2,9,0,18,0,8,0,0,0,0,1,1,6,1,27,6,1797,8,5,3,1,3
2017010009354,1,8,0,18,0,0,0,0,0,0,4,1,1,2,39,7,1997,2,1,4,1,4
2017010009354,2,9,0,12,0,0,0,0,0,0,3,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2017010009357,1,9,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2017010009358,1,1,0,18,0,8,1,0,0,0,0,1,6,1,26,6,-1,-1,-1,6,1,6
2017010009360,1,9,0,4,0,1,5,0,0,0,2,1,6,2,47,8,1794,1,13,1,1,1
2017010009360,2,9,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1,-1,-1
2017010009362,1,9,0,14,0,0,0,0,0,0,4,1,6,1,24,5,-1,-1,-1,8,1,8
2017010009363,1,11,0,18,0,1,0,4,0,0,1,1,1,1,59,9,9360,2,8,1,1,1
2017010009364,1,9,0,4,0,0,0,0,0,0,4,1,2,1,44,7,2204,2,11,6,1,6
2017010009364,2,8,0,6,0,0,0,0,0,0,1,1,1,1,74,10,2499,2,10,5,1,5
2017010009365,1,8,0,18,0,0,-1,8,0,0,4,1,6,1,56,9,1950,2,1,4,1,4
2017010009365,2,9,0,-1,0,0,0,0,0,0,3,1,6,1,48,8,1995,2,7,7,1,7
2017010009366,1,8,0,18,0,1,0,7,3,2,1,1,1,1,44,7,1798,8,4,6,1,6
2017010009375,1,3,0,2,6,1,2,0,1,0,2,1,6,3,-1,-1,108,1,5,-1,-1,-1
2017010009375,2,19,0,18,0,2,0,4,0,0,1,1,1,1,41,7,2198,2,5,-1,-1,-1
2017010009375,3,9,0,18,0,1,0,0,0,0,3,1,6,1,37,7,2993,2,5,-1,-1,-1
2017010009376,1,11,0,18,0,3,0,0,0,0,1,1,1,1,39,7,5883,2,15,6,1,6
2017010009377,1,9,0,18,0,2,0,0,0,0,1,1,6,1,65,9,1798,1,4,6,1,6
2017010009379,1,11,0,2,2,2,0,0,0,0,3,1,6,3,-1,-1,4500,2,6,-1,-1,-1
2017010009379,2,9,0,5,0,2,0,0,0,0,4,1,6,1,21,5,1598,1,8,3,1,3
2017010009380,1,9,0,18,0,1,0,0,0,0,1,1,6,2,48,8,1582,2,6,-1,-1,-1
2017010009380,2,9,0,10,0,1,0,0,0,0,1,1,6,2,25,5,1399,2,11,2,1,2
2017010009381,1,9,0,5,0,6,0,0,0,0,1,1,6,2,32,6,1242,1,8,1,1,1
2017010009381,2,9,0,5,0,6,0,0,0,0,1,1,1,1,48,8,-1,-1,-1,2,1,2
2017010009382,1,9,0,18,0,6,0,0,0,0,1,2,6,1,34,6,-1,-1,-1,3,1,3
2017010009382,2,9,0,18,0,2,0,0,0,0,4,1,6,1,19,4,1995,2,13,1,1,1
2017010009383,1,9,0,9,0,2,0,0,0,0,3,1,6,1,72,10,2597,1,16,6,1,6
2017010009386,1,3,0,18,0,0,0,0,0,0,1,1,2,1,20,4,125,1,5,2,1,2
2017010009386,2,8,0,12,0,0,0,0,0,0,0,1,1,1,31,6,-1,-1,-1,3,1,3
2017010009387,1,3,0,18,0,2,0,0,0,0,0,1,1,1,45,7,108,1,5,3,1,3
2017010009387,2,8,0,6,0,2,0,0,0,0,1,1,1,1,50,8,1798,8,1,1,1,1
2017010009388,1,9,0,5,0,6,0,0,0,0,1,1,6,1,37,7,1910,2,12,2,1,2
2017010009388,2,3,0,18,0,8,0,0,0,0,1,1,6,1,37,7,124,1,5,6,1,6
2017010009389,1,9,0,4,0,1,0,0,0,0,2,1,6,2,49,8,1598,1,9,1,1,1
