Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type
201301BS70033,2,1,0,18,0,8,0,0,0,0,1,1,6,2,5,-1,-1,-1,3,1
201301BS70034,1,5,0,4,0,0,0,0,0,0,3,1,1,1,9,-1,-1,-1,5,1
201301BS70034,2,9,0,4,0,0,0,0,0,0,0,1,6,1,7,6752,1,1,7,1
201301BS70035,1,3,0,4,0,8,0,4,0,0,1,1,6,1,5,125,1,3,-1,-1
201301BS70035,2,9,0,10,0,8,0,0,0,0,1,1,6,1,9,1685,2,1,6,1
201301BS70035,3,9,0,2,0,8,0,0,0,0,2,1,6,1,-1,2967,2,8,-1,-1
201301BS70036,1,8,0,18,0,8,0,0,0,0,1,1,1,1,8,2993,2,7,-1,-1
201301BS70036,2,9,0,4,0,8,0,0,0,0,2,1,6,2,7,2720,2,6,6,1
201301BS70038,1,1,0,18,0,8,0,0,0,0,1,1,2,1,6,-1,-1,-1,9,1
201301BS70038,2,9,0,7,0,8,0,0,0,0,4,1,6,1,-1,1995,1,3,-1,-1
201301BS70040,1,5,0,7,0,8,0,0,0,0,2,1,6,2,7,398,1,21,-1,-1
201301BS70040,2,21,0,7,0,8,0,0,0,0,1,1,1,1,-1,-1,2,11,-1,-1
201301BS70042,1,1,0,18,0,8,0,0,0,0,1,1,1,1,5,-1,-1,-1,6,1
201301BS70042,2,9,0,18,0,8,0,0,0,0,2,1,3,1,8,1598,2,3,5,1
201301BS70043,1,1,0,18,0,8,0,0,0,0,3,1,6,2,6,-1,-1,-1,3,1
201301BS70043,2,8,0,18,0,8,0,0,0,0,1,1,1,1,-1,2664,2,16,-1,-1
201301BS70044,1,9,0,18,3,8,0,0,0,0,1,1,6,2,9,1699,1,7,3,1
201301BS70044,2,1,0,18,0,8,0,0,0,0,1,1,6,1,8,-1,-1,-1,6,1
201301BS70046,1,1,0,4,0,1,0,0,0,0,1,1,2,1,5,-1,-1,-1,6,1
201301BS70046,2,19,0,4,0,1,0,0,0,0,2,1,2,1,6,-1,-1,-1,9,1
201301BS70047,1,9,0,7,0,2,0,0,0,0,4,1,2,1,8,3456,8,3,7,1
201301BS70048,1,9,0,18,0,1,2,4,0,0,1,1,6,1,7,1600,1,7,2,1
201301BS70048,2,9,0,2,0,8,0,0,0,0,3,1,6,1,8,2143,2,2,2,1
201301BS70049,1,8,0,9,0,8,0,0,0,0,1,1,1,1,-1,-1,-1,-1,-1,-1
201301BS70050,1,3,0,9,0,8,1,0,0,0,3,1,2,1,7,125,1,4,6,1
201301BS70051,1,2,0,18,0,1,0,0,0,0,1,1,2,2,7,49,1,2,6,1
201301BS70051,2,8,0,6,0,2,0,0,0,0,3,1,1,1,-1,2664,2,15,3,1
201301BS70054,1,9,0,11,0,0,0,0,0,0,4,1,6,1,7,1686,2,8,3,1
201301BS70054,2,9,0,18,0,0,0,0,0,0,3,1,6,2,7,1461,2,3,3,1
201301BS70055,1,9,0,18,0,8,0,0,0,0,1,1,6,1,4,-1,-1,-1,10,1
201301BS70056,1,3,0,18,0,1,0,0,0,0,4,1,6,1,6,125,1,6,2,1
201301BS70056,2,9,0,12,0,1,0,0,0,0,3,1,6,1,9,1596,1,9,2,1
201301BS70057,1,3,0,4,0,0,0,0,0,0,3,1,2,1,6,124,1,12,10,1
201301BS70057,2,9,0,12,0,0,0,0,0,0,0,1,6,3,-1,1797,8,3,-1,-1
201301BS70058,1,2,0,18,0,0,0,0,0,0,1,1,6,1,6,696,1,5,4,1
201301BS70059,1,11,0,18,0,0,0,0,0,0,4,1,1,1,6,-1,-1,-1,-1,-1
201301BS70060,1,9,0,18,0,0,0,0,0,0,4,1,6,1,6,1781,1,9,1,1
201301BS70061,1,9,0,6,0,8,0,0,0,0,3,1,6,2,9,2979,1,11,5,1
201301BS70061,2,3,0,18,0,8,0,0,0,0,1,1,6,1,6,124,1,11,4,1
201301BS70063,1,1,0,18,0,8,0,0,0,0,1,1,1,1,6,-1,-1,-1,1,1
201301BS70064,1,9,0,18,0,0,0,0,0,0,4,1,6,1,10,2688,2,8,5,1
201301BS70065,1,20,0,18,0,8,0,0,0,0,3,1,1,1,5,4250,2,5,9,1
201301BS70065,2,9,0,11,0,8,0,0,0,0,4,1,6,2,6,1769,1,7,5,1
201301BS70066,1,3,0,9,0,8,0,0,0,0,0,1,1,1,6,125,1,2,3,1
201301BS70066,2,5,0,9,0,8,0,0,0,0,3,1,6,1,7,-1,-1,-1,2,1
201301BS70067,1,3,0,17,0,0,0,0,0,0,1,1,6,1,7,125,1,1,7,1
201301BS70068,1,9,0,9,0,8,0,0,0,0,1,1,6,1,10,1998,2,9,4,1
201301BS70068,2,5,0,13,0,8,0,0,0,0,1,1,6,1,6,-1,-1,-1,7,1
201301BS70070,1,9,0,18,0,8,0,0,0,0,4,1,6,2,5,-1,-1,-1,2,1
201301BS70070,2,3,0,18,0,8,0,0,0,0,1,1,1,1,5,125,1,2,3,1
201301BS70071,1,9,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70073,1,1,0,18,0,8,0,0,0,0,4,1,6,1,8,-1,-1,-1,6,1
201301BS70073,2,9,0,5,0,8,0,0,0,0,1,1,6,3,-1,1997,2,12,-1,-1
201301BS70074,1,9,0,1,0,0,0,0,0,0,2,1,1,1,9,1997,2,2,3,1
201301BS70075,1,9,0,18,0,2,0,0,0,0,3,1,2,1,7,2993,2,1,1,1
201301BS70076,1,9,0,18,0,1,0,0,0,0,4,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70077,1,9,0,18,0,8,0,0,0,0,4,1,1,1,10,1396,1,17,2,1
201301BS70078,1,19,0,1,0,2,0,0,0,0,2,1,6,1,8,2143,2,1,8,1
201301BS70078,2,9,0,18,0,2,0,0,0,0,1,1,6,1,8,6749,1,2,8,3
201301BS70079,1,9,0,18,0,1,0,0,0,0,4,1,6,1,-1,1968,2,4,5,1
201301BS70080,1,3,0,15,0,8,0,0,0,0,4,1,1,1,6,125,1,2,7,1
201301BS70081,1,9,0,18,0,0,0,0,0,0,3,1,2,1,6,1149,1,8,3,1
201301BS70081,2,20,0,11,0,0,0,0,0,0,4,1,1,1,-1,-1,-1,-1,7,1
201301BS70082,1,9,0,4,0,1,0,0,0,0,2,1,6,2,8,-1,-1,-1,2,1
201301BS70082,2,90,0,18,0,1,0,0,0,0,1,1,6,2,-1,-1,-1,-1,-1,-1
201301BS70083,1,8,0,10,0,8,0,0,0,0,4,1,1,1,8,2664,2,12,1,1
201301BS70083,2,3,0,18,0,8,0,0,0,0,1,1,6,1,5,125,1,9,6,1
201301BS70084,1,9,0,15,0,2,0,0,0,0,4,1,6,1,7,1968,2,-1,-1,-1
201301BS70084,2,11,0,5,0,2,0,0,0,0,3,1,1,1,-1,7300,2,8,5,1
201301BS70086,1,8,0,9,0,8,0,0,0,0,4,1,6,1,8,1974,2,14,6,1
201301BS70086,2,1,0,18,0,8,0,0,0,0,1,1,6,2,7,-1,-1,-1,4,1
201301BS70087,1,9,0,4,0,1,0,0,0,0,2,1,6,2,8,2362,7,4,7,1
201301BS70087,2,1,0,18,0,1,0,0,0,0,1,1,6,1,7,-1,-1,-1,10,1
201301BS70088,1,3,0,18,0,0,0,0,0,0,1,1,6,1,7,124,1,13,8,1
201301BS70089,1,3,0,18,0,8,0,0,0,0,1,1,6,1,5,124,1,2,5,1
201301BS70089,2,9,0,9,0,8,0,0,0,0,1,1,6,2,7,1896,2,10,3,1
201301BS70090,1,9,0,16,0,8,0,0,0,0,1,1,6,1,7,-1,-1,-1,10,1
201301BS70092,1,1,0,18,0,0,0,0,0,0,1,1,6,1,5,-1,-1,-1,4,1
201301BS70093,1,5,0,11,0,1,0,0,0,0,2,1,6,1,6,599,1,6,2,1
201301BS70093,2,9,0,18,0,1,0,0,0,0,1,1,1,2,8,-1,-1,-1,2,1
201301BS70094,1,3,0,18,0,8,0,0,0,0,1,1,6,1,7,124,1,7,2,1
201301BS70094,2,9,0,9,0,8,0,0,0,0,3,1,6,2,7,1397,1,11,2,1
201301BS70095,1,1,0,18,0,8,0,0,0,0,1,1,1,1,5,-1,-1,-1,3,1
201301BS70095,2,9,0,18,0,8,0,0,0,0,3,1,6,1,6,1910,2,7,5,1
201301BS70096,1,1,0,18,0,2,0,0,0,0,3,1,6,2,8,-1,-1,-1,4,1
201301BS70096,2,19,0,13,0,2,0,0,0,0,1,1,1,1,8,1870,2,8,-1,-1
201301BS70099,1,9,0,9,0,8,0,0,0,0,3,1,6,1,7,1360,1,10,-1,-1
201301BS70099,2,3,0,14,0,8,0,0,0,0,1,1,6,1,6,-1,-1,-1,3,1
201301BS70100,1,9,0,18,0,8,0,0,0,0,2,1,2,1,6,1910,2,5,3,1
201301BS70100,2,9,0,18,0,8,0,0,0,0,2,1,2,2,8,1198,1,10,7,1
201301BS70100,3,9,0,5,0,8,0,0,0,0,1,1,2,2,7,1498,1,6,4,1
201301BS70100,4,9,0,7,0,8,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70101,1,3,0,4,0,8,1,0,0,0,2,1,6,1,6,124,1,6,6,1
201301BS70101,2,9,0,6,0,8,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70102,1,11,0,4,0,0,0,0,0,0,0,1,1,1,6,6700,2,6,3,1
201301BS70103,1,3,0,18,0,1,0,0,0,0,1,1,2,1,6,124,1,7,2,1
201301BS70104,1,2,0,18,0,8,0,0,0,0,1,1,6,1,7,124,1,7,4,1
201301BS70104,2,8,0,6,0,8,0,0,0,0,4,1,1,1,7,-1,-1,-1,1,1
201301BS70105,1,8,0,6,0,2,0,0,0,0,3,1,1,1,10,-1,-1,-1,3,1
201301BS70105,2,2,0,18,0,1,0,0,0,0,1,1,6,2,6,49,1,12,1,1
201301BS70106,1,9,0,14,0,1,0,0,0,0,4,1,1,1,9,-1,-1,-1,2,1
201301BS70107,1,9,0,9,0,8,0,0,0,0,3,1,6,1,7,1796,1,5,2,1
201301BS70109,1,11,0,4,0,1,0,0,0,0,0,1,1,3,-1,9200,2,10,-1,-1
201301BS70110,1,1,0,18,0,8,0,0,0,0,3,1,2,2,5,-1,-1,-1,2,1
201301BS70110,2,9,0,5,0,8,0,0,0,0,1,1,2,1,-1,-1,-1,-1,-1,-1
201301BS70111,1,9,0,6,0,0,0,0,0,0,3,1,6,1,5,998,1,1,7,1
201301BS70111,2,3,0,18,0,0,0,0,0,0,4,1,6,1,4,100,1,16,1,1
201301BS70112,1,3,0,18,0,8,0,0,0,0,4,1,6,2,6,125,1,1,5,1
201301BS70112,2,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70114,1,3,0,9,0,8,0,0,0,0,1,1,1,1,7,124,1,1,9,1
201301BS70114,2,9,0,18,0,8,0,0,0,0,3,1,6,1,7,1798,1,9,3,1
201301BS70115,1,19,0,1,0,1,0,0,0,0,2,1,6,1,-1,1753,2,10,3,1
201301BS70116,1,21,0,18,0,1,0,0,0,0,1,1,6,1,7,10837,2,2,3,1
201301BS70117,1,9,0,4,0,0,0,0,0,0,1,1,6,1,9,1997,2,4,9,1
201301BS70118,1,9,0,14,0,0,0,0,0,0,4,1,6,1,5,2148,2,5,1,1
201301BS70119,1,9,0,9,0,8,0,0,0,0,4,1,1,1,6,1762,1,13,2,1
201301BS70119,2,8,0,18,0,8,0,0,0,0,3,1,1,1,7,2499,2,6,4,1
201301BS70120,1,1,0,18,0,8,0,0,0,0,4,1,2,2,8,-1,-1,-1,3,1
201301BS70120,2,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,1997,2,4,-1,-1
201301BS70121,1,9,0,9,0,2,0,0,0,0,4,1,6,1,7,1769,1,9,3,1
201301BS70122,1,8,0,18,0,8,0,0,0,0,4,1,1,1,8,2402,2,11,7,1
201301BS70122,2,9,0,7,0,8,0,0,0,0,3,1,6,2,9,2793,1,15,7,1
201301BS70123,1,8,0,4,0,0,0,0,0,0,2,1,6,1,8,2402,2,7,10,1
201301BS70123,2,20,0,18,0,0,0,0,0,0,1,1,6,1,8,-1,-1,-1,4,1
201301BS70124,1,9,0,9,0,8,0,0,0,0,0,1,6,2,6,999,1,6,2,1
201301BS70124,2,3,0,4,0,8,0,0,0,0,0,1,1,1,5,125,1,3,1,1
201301BS70125,1,3,0,4,0,8,0,0,0,0,4,1,2,1,7,125,1,7,2,1
201301BS70125,2,8,0,11,0,8,0,0,0,0,0,1,1,1,7,2499,2,4,7,1
201301BS70126,1,9,0,3,0,1,0,0,0,0,4,1,6,1,6,-1,-1,-1,10,1
201301BS70126,2,5,0,18,0,1,0,0,0,0,1,1,6,1,7,750,1,3,-1,-1
201301BS70127,1,1,0,18,0,8,0,0,0,0,4,1,6,1,6,-1,-1,-1,6,1
201301BS70127,2,9,0,9,0,8,0,0,0,0,1,1,6,3,-1,1997,2,4,-1,-1
201301BS70128,1,1,0,18,0,0,0,0,0,0,3,1,6,2,6,-1,-1,-1,7,1
201301BS70129,1,9,0,9,0,8,0,0,0,0,3,1,6,2,6,1598,1,1,4,1
201301BS70129,2,1,0,18,0,8,0,0,0,0,1,1,6,1,7,-1,-1,-1,-1,-1
201301BS70130,1,9,0,5,0,2,0,0,0,0,3,1,6,1,8,1896,2,6,2,1
201301BS70130,2,3,0,18,0,2,0,0,0,0,4,1,2,1,5,125,1,7,3,1
201301BS70131,1,11,0,18,0,0,0,0,0,0,0,1,6,1,7,9000,2,4,3,1
201301BS70132,1,9,0,9,0,8,0,0,0,0,3,1,6,3,-1,1910,2,5,-1,-1
201301BS70133,1,9,0,9,0,8,0,0,0,0,4,1,6,2,7,1984,1,2,5,1
201301BS70133,2,2,0,18,0,8,0,0,0,0,1,1,1,2,7,49,1,10,3,1
201301BS70134,1,8,0,9,0,8,0,0,0,0,4,1,1,1,11,2664,2,15,6,2
201301BS70134,2,3,0,18,0,8,0,0,0,0,1,1,6,1,5,124,1,1,7,1
201301BS70135,1,11,0,5,0,0,0,0,0,0,0,1,1,1,8,7300,2,9,2,1
201301BS70136,1,9,0,9,0,8,0,0,0,0,0,1,6,1,-1,1388,1,8,-1,-1
201301BS70136,2,3,0,4,0,8,1,0,0,0,3,1,6,1,6,125,1,5,8,1
201301BS70137,1,9,0,17,0,8,0,0,0,0,1,1,6,1,7,1388,1,16,3,1
201301BS70137,2,3,0,16,0,8,0,0,0,0,1,1,6,2,6,124,1,2,3,1
201301BS70138,1,9,0,18,0,8,0,4,0,0,1,1,6,1,6,4244,1,6,4,1
201301BS70138,2,9,0,2,0,8,0,4,0,0,1,1,6,1,-1,3824,1,5,4,1
201301BS70138,3,9,0,2,0,2,0,4,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1
201301BS70138,4,9,0,2,0,2,0,4,0,0,1,1,6,1,-1,1995,1,8,-1,-1
201301BS70138,5,9,0,2,0,2,0,4,0,0,1,1,6,3,-1,2706,1,1,-1,-1
201301BS70138,6,9,0,2,0,8,0,0,0,0,1,1,6,3,-1,1968,2,7,-1,-1
201301BS70139,1,9,0,18,0,0,0,0,0,0,2,1,6,1,7,2231,2,1,6,1
201301BS70139,2,19,0,18,0,0,0,0,0,0,2,1,1,3,-1,-1,-1,-1,-1,-1
201301BS70139,3,9,0,18,0,0,0,4,0,0,1,1,6,2,-1,1198,1,6,9,1
201301BS70140,1,8,0,1,0,0,0,0,0,0,3,1,1,1,-1,1497,8,5,-1,-1
201301BS70140,2,9,0,2,0,0,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70142,1,9,0,7,0,8,0,0,0,0,2,1,6,2,10,6750,1,21,6,1
201301BS70142,2,9,0,17,0,8,0,0,0,0,1,1,6,1,8,2993,2,1,8,1
201301BS70142,3,9,0,17,0,8,0,0,0,0,2,1,6,1,8,2993,2,1,9,1
201301BS70143,1,11,0,4,0,0,0,0,0,0,1,1,6,1,7,6700,2,4,3,1
201301BS70144,1,9,0,9,0,8,0,0,0,0,4,1,6,2,8,1598,1,12,8,1
201301BS70144,2,1,0,18,0,8,0,0,0,0,1,1,6,1,6,-1,-1,-1,6,1
201301BS70146,1,1,0,18,0,8,0,0,0,0,1,1,2,1,6,-1,-1,-1,-1,-1
201301BS70146,2,9,0,7,0,8,0,0,0,0,4,1,6,1,-1,1997,2,7,-1,-1
201301BS70147,1,1,0,18,0,8,0,0,0,0,1,1,6,1,5,-1,-1,-1,2,1
201301BS70147,2,19,0,7,0,8,0,0,0,0,4,1,1,1,8,1995,2,1,1,1
201301BS70148,1,9,0,9,0,8,0,0,0,0,1,1,1,1,7,2987,2,3,6,1
201301BS70148,2,3,0,18,0,8,0,0,0,0,1,1,6,1,-1,124,1,16,-1,-1
201301BS70149,1,9,0,11,0,0,0,0,0,0,4,1,6,1,6,2720,2,8,4,1
201301BS70149,2,9,0,18,0,0,0,0,0,0,3,1,6,1,7,1794,1,6,1,1
201301BS70150,1,9,0,18,0,8,0,0,0,0,4,1,6,2,6,1240,1,8,4,1
201301BS70150,2,11,0,18,0,8,0,0,0,0,3,1,6,1,8,6700,2,6,4,1
201301BS70151,1,9,0,12,0,1,0,0,0,0,3,1,6,2,8,1998,1,12,3,1
201301BS70151,2,1,0,14,0,1,0,0,0,0,1,1,6,1,5,-1,-1,-1,-1,-1
201301BS70152,1,1,0,18,0,1,0,0,0,0,1,1,6,1,4,-1,-1,-1,6,1
201301BS70152,2,19,0,11,0,1,0,0,0,0,4,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70153,1,9,0,18,0,8,0,0,0,0,4,1,6,1,6,1598,1,5,-1,-1
201301BS70155,1,8,0,14,0,0,0,0,0,0,4,1,1,2,-1,-1,-1,-1,1,1
201301BS70156,1,9,0,3,0,1,0,0,0,0,1,1,6,1,8,-1,-1,-1,4,1
201301BS70156,2,11,0,1,0,8,0,0,0,0,2,2,1,1,-1,-1,-1,-1,-1,-1
201301BS70158,1,3,0,18,0,2,0,0,0,0,1,1,6,2,7,278,1,1,4,1
201301BS70159,1,9,0,18,0,8,0,0,0,0,1,1,6,1,4,3800,1,2,8,1
201301BS70159,2,9,0,18,0,8,0,0,0,0,4,1,6,2,7,-1,3,4,6,1
201301BS70160,1,11,0,18,0,8,0,0,0,0,1,1,1,1,6,4500,2,6,1,1
201301BS70160,2,9,0,18,0,8,0,0,0,0,3,1,6,2,4,599,1,11,3,1
201301BS70161,1,8,0,7,0,8,0,0,0,0,1,1,1,1,7,1910,2,7,3,1
201301BS70161,2,90,0,18,0,8,0,0,0,0,4,1,6,2,10,-1,-1,-1,1,1
201301BS70163,1,3,0,18,0,1,0,0,0,0,2,1,2,1,7,124,1,13,5,1
201301BS70163,2,19,0,11,0,1,0,0,0,0,1,1,1,3,-1,1998,2,10,-1,-1
201301BS70164,1,3,0,18,0,0,0,0,0,0,1,1,6,1,6,124,1,4,8,1
201301BS70164,2,19,0,6,0,0,0,0,0,0,3,1,1,1,7,2500,2,6,2,1
201301BS70166,1,8,0,7,0,8,0,0,0,0,4,1,1,1,10,1997,2,1,-1,-1
201301BS70166,2,1,0,18,0,8,0,0,0,0,1,1,6,2,6,-1,-1,-1,4,1
201301BS70167,1,11,0,4,0,2,0,0,0,0,0,1,1,1,7,4461,2,-1,-1,-1
201301BS70168,1,8,0,18,0,8,0,0,0,0,4,1,1,1,-1,2499,2,6,-1,-1
201301BS70171,1,9,0,18,0,1,0,0,0,0,1,1,6,1,5,1999,1,5,3,1
201301BS70171,2,19,0,4,0,8,0,0,0,0,2,1,1,1,7,2402,2,3,-1,-1
201301BS70172,1,3,0,18,0,0,0,0,0,0,1,1,6,1,5,-1,-1,-1,2,1
201301BS70173,1,9,0,6,0,0,0,0,0,0,3,1,6,1,6,1461,2,2,4,1
201301BS70173,2,5,0,18,0,0,0,0,0,0,1,1,6,1,7,599,1,12,3,1
201301BS70174,1,1,0,18,0,8,0,0,0,0,3,1,6,1,5,-1,-1,-1,6,1
201301BS70174,2,9,0,7,0,8,0,0,0,0,4,1,6,1,-1,-1,-1,-1,-1,-1
201301BS70175,1,9,0,9,0,8,0,0,0,0,1,1,6,2,6,1598,1,16,6,3
201301BS70175,2,9,0,18,0,8,0,0,0,0,1,1,6,1,8,1855,1,13,8,1
201301BS70176,1,5,0,18,0,1,0,0,0,0,4,1,6,1,7,-1,-1,-1,2,1
201301BS70176,2,9,0,6,0,8,0,0,0,0,3,1,6,1,7,1275,1,17,-1,-1
201301BS70177,1,9,0,18,0,8,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70178,1,8,0,18,0,2,0,0,0,0,4,1,1,1,10,2664,2,15,5,3
201301BS70179,1,8,0,18,0,8,0,0,0,0,1,1,1,1,11,2664,2,13,7,1
201301BS70180,1,11,0,4,0,2,0,0,0,0,0,1,1,1,9,7300,2,9,4,1
201301BS70181,1,3,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70183,1,9,0,9,0,8,0,0,0,0,4,1,6,1,8,-1,-1,-1,1,1
201301BS70183,2,1,0,18,0,8,0,0,0,0,1,1,6,1,4,-1,-1,-1,2,1
201301BS70184,1,1,0,18,0,0,0,0,0,0,1,1,6,1,5,-1,-1,-1,-1,-1
201301BS70185,1,19,0,4,0,2,0,0,0,0,2,1,1,1,5,2198,2,3,4,1
201301BS70185,2,1,0,18,0,2,0,0,0,0,1,1,6,1,7,-1,-1,-1,9,1
201301BS70186,1,9,0,5,0,2,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1
201301BS70187,1,1,0,18,0,8,0,0,0,0,0,1,6,1,9,-1,-1,-1,8,1
201301BS70187,2,19,0,7,0,8,0,0,0,0,0,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70188,1,9,0,2,0,1,0,0,0,0,3,1,6,2,8,4395,1,-1,7,1
201301BS70188,2,1,0,18,0,1,0,8,0,0,1,1,2,1,7,-1,-1,-1,10,1
201301BS70189,1,9,0,18,0,1,0,0,0,0,1,1,6,1,9,-1,-1,-1,2,1
201301BS70189,2,9,0,7,0,8,0,0,0,0,2,1,6,1,6,-1,-1,-1,5,1
201301BS70190,1,3,0,18,0,8,0,0,0,0,1,1,6,1,-1,-1,-1,-1,-1,-1
201301BS70191,1,10,0,7,0,5,0,0,0,0,4,1,1,1,9,2998,2,7,2,1
201301BS70191,2,1,0,4,0,8,0,0,0,0,1,1,6,1,8,-1,-1,-1,-1,-1
201301BS70192,1,9,0,18,0,0,0,0,0,0,1,1,6,1,7,2987,2,1,8,1
201301BS70193,1,3,0,18,0,8,0,0,0,0,3,1,6,1,5,-1,-1,-1,2,1
201301BS70194,1,9,0,3,0,8,0,0,0,0,2,1,6,1,6,2171,1,9,3,1
201301BS70194,2,9,0,18,0,8,0,0,0,0,1,1,6,1,-1,1896,2,8,-1,-1
201301BS70195,1,19,0,15,0,0,0,0,0,0,3,1,6,1,-1,-1,-1,-1,-1,-1
201301BS70196,1,9,0,5,0,8,0,0,0,0,2,1,6,1,7,3936,2,10,-1,-1
201301BS70196,2,9,0,18,0,1,0,0,0,0,1,1,6,3,-1,-1,-1,-1,-1,-1
201301BS70197,1,19,0,9,0,8,0,0,0,0,4,1,1,1,7,2300,2,7,10,1
201301BS70197,2,1,0,15,0,8,0,0,0,0,1,1,6,1,6,-1,-1,-1,6,1
201301BS70198,1,5,0,17,0,8,0,0,0,0,1,1,6,1,7,1170,1,2,10,1
